Caldithrix abyssi
Mycobacterium avium
Xanthomonas axonopodis
'Nostoc azollae'
Sulfurihydrogenibium azorense
Treponema azotonutricium
Desulfarculus baarsii
Lactobacillus backii
Anaerolineaceae bacterium
Sphingobium baderi
Pseudomonas balearica
Belliella baltica
Clostridium baratii
Methanosarcina barkeri
Sulfurospirillum barnesii
Thermococcus barophilus
Methanocaldococcus bathoardescens
Acinetobacter baumannii
Clostridium beijerinckii
Paenibacillus beijingensis
Parvularcula bermudensis
Granulibacter bethesdensis
Bifidobacterium bifidum
Streptomyces bingchenggensis
Thermobispora bispora
Escherichia blattae
Salmonella bongori
Aciduliprofundum boonei
Paenibacillus borealis
Leptospira borgpetersenii
Halogeometricum borinquense
Clostridium botulinum
Methanoculleus bourgensis
Xenorhabdus bovienii
Mycobacterium bovis
Shigella boydii
Flavobacterium branchiophilum
Thiolapillus brandeum
Azospirillum brasilense
Planctomyces brasiliensis
Treponema brennaborense
Bifidobacterium breve
Lactobacillus brevis
Nitrosospira briensis
Thermus brockianus
Thermoanaerobacter brockii
Leptotrichia buccalis
Lactobacillus buchneri
Methanococcoides burtonii
Hyperthermus butylicus
Clostridium butyricum
Leadbetterella byssophila
Fermentimonas caenicola
Spirochaeta caldaria
Candidatus Caldiarchaeum
Thermotoga caldifontis
Acidithiobacillus caldus
Pyrobaculum calidifontis
Aeropyrum camini
Halomonas campaniensis
Xanthomonas campestris
Corynebacterium camporealensis
Mycobacterium canettii
Capnocytophaga canimorsus
Mycoplasma canis
Mycobacterium caprae
Acidobacterium capsulatum
Methylococcus capsulatus
Pelobacter carbinolicus
Thermofilum carboxyditrophus
Desulfotomaculum carboxydivorans
Paraburkholderia caribensis
Erwinia carotovora
Pectobacterium carotovorum
Corynebacterium casei
Roseiflexus castenholzii
Moraxella catarrhalis
Bifidobacterium catenulatum
Streptomyces cattleya
Coprococcus catus
Sulfurospirillum cavolei
Clostridium cellulolyticum
Acidothermus cellulolyticus
[Clostridium] cellulosi
Xylanimonas cellulosilytica
Sorangium cellulosum
Clostridium cellulovorans
Rhodospirillum centenum
Bacillus cereus
Helicobacter cetorum
Clostridium cf.
Clostridium chauvoei
Hahella chejuensis
Thermococcus chitonophagus
Candidatus Chloracidobacterium
Thauera chlorobenzoica
Chlorobium chlorochromatii
Pseudomonas chlororaphis
Vibrio cholerae
Leptothrix cholodnii
Aerococcus christensenii
Azotobacter chroococcum
Pseudomonas cichorii
Helicobacter cinaedi
Xanthomonas citri
Pseudomonas citronellolis
Clostridium clariflavum
Bacillus clausii
Streptomyces clavuligerus
Lawsonella clevelandensis
Enterobacter cloacae
Candidatus Cloacamonas
Bacillus coagulans
Spirochaeta coccoides
Streptomyces coelicolor
Campylobacter coli
Aminobacterium colombiense
Flavobacterium columnare
Thermodesulfobacterium commune
Nitrosomonas communis
Thermobacillus composti
Methanosaeta concilii
Corallococcus coralloides
Kosakonia cowanii
Pseudomonas cremoricolorata
Lactobacillus crispatus
Chondromyces crocatus
Corynebacterium crudilactis
Pedobacter cryoconitis
Acidiphilium cryptum
Metallosphaera cuprina
Mobiluncus curtisii
Thermomonospora curvata
Lactobacillus curvatus
Campylobacter curvus
Streptomyces cyaneogriseus
Stanieria cyanosphaera
Anabaena cylindrica
Mycoplasma cynos
Nocardia cyriacigeorgica
Dickeya dadantii
Chelatococcus daeguensis
Pediococcus damnosus
Haloterrigena daqingensis
Nocardiopsis dassonvillei
Castellaniella defragrans
Ammonifex degensii
Anaeromyxobacter dehalogenans
Pyrodictium delaneyi
Lactobacillus delbrueckii
Sulfurospirillum deleyianum
Alicycliphilus denitrificans
Prevotella dentalis
Prevotella denticola
Parascardovia denticolens
Bifidobacterium dentium
Rothia dentocariosa
Corynebacterium deserti
Candidatus Desulfococcus
Candidatus Desulforudis
Deferribacter desulfuricans
Gluconacetobacter diazotrophicus
Tenacibaculum dicentrarchi
Alcanivorax dieselolei
Clostridioides difficile
Corynebacterium diphtheriae
blood disease
Mycoplasma dispar
Parabacteroides distasonis
Vulcanisaeta distributa
candidate division
Cuniculiplasma divulgatum
Xenorhabdus doucetiae
Cronobacter dublinensis
Enterococcus durans
Paenibacillus durus
Shigella dysenteriae
Streptococcus dysgalactiae
Corynebacterium efficiens
Alkalilimnicola ehrlichei
Verminephrobacter eiseniae
Thermotoga elfii
Eubacterium eligens
Halomonas elongata
Megasphaera elsdenii
Prevotella enoeca
Salmonella enterica
Staphylococcus epidermidis
Crinalium epipsammum
Streptococcus equi
Taylorella equigenitalis
Nanoarchaeum equitans
Staphylococcus equorum
Actinobacillus equuli
Saccharopolyspora erythraea
Trichodesmium erythraeum
Saccharothrix espanaensis
Nitrosomonas europaea
Thermococcus eurythermalis
Nitrosomonas eutropha
Caldisericum exile
Bdellovibrio exovorus
Enterococcus faecalis
Enterococcus faecium
Corynebacterium falsenii
Nocardia farcinica
Escherichia fergusonii
Acidaminococcus fermentans
Lactobacillus fermentum
Desulfotomaculum ferrireducens
Acidihalobacter ferrooxidans
Methanocaldococcus fervens
Campylobacter fetus
Butyrivibrio fibrisolvens
Cellulomonas fimi
Methylobacillus flagellatus
Corynebacterium flavescens
Anoxybacillus flavithermus
Streptomyces flavogriseus
Shigella flexneri
Vibrio fluvialis
Serratia fonticola
Fervidicoccus fontis
Pragia fontium
Clostridium formicaceticum
Methanobacterium formicicum
Tannerella forsythia
Mycobacterium fortuitum
Xanthomonas fragariae
Bacteroides fragilis
Corynebacterium frankenforstense
Yersinia frederiksenii
Propionibacterium freudenreichii
Archaeoglobus fulgidus
Pseudomonas fulva
Myxococcus fulvus
Pyrolobus fumarii
Methylacidiphilum fumariolicum
Syntrophobacter fumaroxidans
Pyrococcus furiosus
Prevotella fusca
Chryseobacterium gallinarum
Mycoplasma gallisepticum
Streptococcus gallolyticus
Thermococcus gammatolerans
Rubrivivax gelatinosus
Leuconostoc gelidum
Deinococcus geothermalis
Archangium gephyra
Pluralibacter gergoviae
Haloferax gibbonsii
Desulfotomaculum gibsoniae
Desulfovibrio gigas
Polymorphum gilvum
Porphyromonas gingivalis
Streptomyces glaucescens
Streptomyces globisporus
Coriobacterium glomerans
Burkholderia glumae
Corynebacterium glutamicum
Akkermansia glycaniphila
Syntrophobotulus glycolicus
Kiritimatiella glycovorans
Deinococcus gobiensis
Anoxybacillus gonensis
Neisseria gonorrhoeae
Streptococcus gordonii
Campylobacter gracilis
Saprospira grandis
Natronobacterium gregoryi
Streptomyces griseochromogenes
Streptomyces griseus
Thermococcus guaymasensis
Lentzea guizhouensis
Lysobacter gummosus
Anaerostipes hadrus
Capnocytophaga haemolytica
Arcanobacterium haemolyticum
Acinetobacter haemolyticus
Desulfitobacterium hafniense
Halobacteroides halobius
Bacillus halodurans
Halorhodospira halophila
Nitrosococcus halophilus
Streptococcus halotolerans
Myxococcus hansupus
Ethanoligenens harbinense
Methanosaeta harundinacea
Vibrio harveyi
Lactobacillus heilongjiangensis
Bacteroides helcogenes
Spiroplasma helicoides
Staphylothermus hellenicus
Lactobacillus helveticus
Enterococcus hirae
Mucinivorans hirudinis
Haloarcula hispanica
Francisella hispaniensis
Methanomethylovorans hollandica
Campylobacter hominis
Pyrococcus horikoshii
Enterobacter hormaechei
Methanosarcina horonobensis
Edwardsiella hoshinae
Ignicoccus hospitalis
haloarchaeon HSR6
Halobacterium hubeiense
Azospirillum humicireducens
Methanospirillum hungatei
Fusobacterium hwasookii
Sulfuritalea hydrogenivorans
Carboxydothermus hydrogenoformans
Haliscomenobacter hydrossis
Caldicellulosiruptor hydrothermalis
Streptomyces hygroscopicus
Staphylococcus hyicus
Actinoalloteichus hymeniacidonis
Brachyspira hyodysenteriae
Campylobacter hyointestinalis
Megamonas hypermegale
Pseudothermotoga hypogea
Methanotorris igneus
Campylobacter iguaniorum
Corynebacterium imitans
Desulfurispirillum indicum
Thermodesulfatator indicus
Chryseobacterium indologenes
Streptococcus infantarius
Methylacidiphilum infernorum
Methanocaldococcus infernus
Psychromonas ingrahamii
Thioploca ingrica
Streptococcus iniae
Listeria innocua
Scardovia inopinata
Ralstonia insidiosa
Kluyvera intermedia
Streptococcus intermedius
Leptospira interrogans
Acidaminococcus intestini
Fervidobacterium islandicum
Sulfolobus islandicus
Thermoanaerobacter italicus
Listeria ivanovii
Methanocaldococcus jannaschii
Amycolatopsis japonica
Cellvibrio japonicus
Corynebacterium jeikeium
Campylobacter jejuni
Lactobacillus jensenii
Salimicrobium jeotgali
Flavobacterium johnsoniae
Lactobacillus johnsonii
Haematospirillum jordaniae
Acinetobacter junii
Desulfurococcus kamchatkensis
Methanopyrus kandleri
Mycobacterium kansasii
Bifidobacterium kashiwanohense
Geobacillus kaustophilus
Lactobacillus kefiranofaciens
Comamonas kerstersii
Gloeobacter kilaueensis
Thermoanaerobacter kivui
Clostridium kluyveri
Enterobacter kobei
Thermococcus kodakarensis
Candidatus Korarchaeum
Dokdonella koreensis
Citrobacter koseri
Yersinia kristensenii
Caldicellulosiruptor kristjanssonii
Caldicellulosiruptor kronotskyensis
Corynebacterium kutscheri
Desulfotomaculum kuznetsovii
Methanocorpusculum labreanum
Halobiforma lacisalsi
Neisseria lactamica
Corynebacterium lactis
Caldicellulosiruptor lactoaceticus
Halorubrum lacusprofundi
Methanosarcina lacustris
Campylobacter lari
Halostagnicola larsenii
Paenibacillus larvae
Parvibaculum lavamentivorans
Streptomyces leeuwenhoekii
Bacillus lehensis
Eggerthella lenta
Beggiatoa leptomitiformis
Thermotoga lettingae
Thermovirga lienii
Chlorobium limicola
Chlorobaculum limnaeum
Planctomyces limnophilus
Eubacterium limosum
Lactobacillus lindneri
Spirosoma linguale
Syntrophothermus lipocalidus
Azospirillum lipoferum
Sulfurovum lithotrophicum
Flexibacter litoralis
Bifidobacterium longum
Geobacter lovleyi
Staphylococcus lugdunensis
Photorhabdus luminescens
Muricauda lutaonensis
Pelodictyon luteolum
Pseudoalteromonas luteoviolacea
Streptococcus lutetiensis
Streptomyces lydicus
Streptococcus macedonicus
Alteromonas macleodii
Natrialba magadii
Finegoldia magna
Desulfovibrio magneticus
Cronobacter malonaticus
Methanothermobacter marburgensis
Serratia marcescens
Thermaerobacter marianensis
Acaryochloris marina
Mycobacterium marinum
Rhodothermus marinus
Methanococcus maripaludis
Verrucosispora maris
Fuerstia marisgermanicae
Haloarcula marismortui
Methanoculleus marisnigri
Thermotoga maritima
Nitrosopumilus maritimus
Ezakiella massiliensis
Thermoanaerobacter mathranii
Methanosarcina mazei
Dehalococcoides mccartyi
Aeromonas media
Alteromonas mediterranea
Anaerococcus mediterraneensis
Amycolatopsis mediterranei
Thermosipho melanesiensis
Pseudomonas mendocina
Neisseria meningitidis
Elizabethkingia meningoseptica
Alkaliphilus metalliredigens
Geobacter metallireducens
Methylomonas methanica
Amycolatopsis methanolica
Candidatus Methanomethylophilus
Candidatus Methanoplasma
Candidatus Methanosphaerula
Candidatus Methylomirabilis
Methanococcoides methylutens
Actinomyces meyeri
Klebsiella michiganensis
Parvimonas micra
Phycisphaera mikurensis
Methanobrevibacter millerae
Elusimicrobium minutum
Chamaesiphon minutus
Proteus mirabilis
Elizabethkingia miricola
Actinoplanes missouriensis
Anaerobaculum mobile
Petrotoga mobilis
Heliobacterium modesticaldum
Luteipulveratus mongoliensis
Streptobacillus moniliformis
Listeria monocytogenes
Spirosoma montaniterrae
Nitrospira moscoviensis
Vulcanisaeta moutnovskia
Rothia mucilaginosa
Paenibacillus mucilaginosus
Akkermansia muciniphila
Petrimonas mucosa
Lactobacillus mucosae
Desulfurococcus mucosus
Halomicrobium mukohataei
Nakamurella multipartita
Chania multitudinisentens
Desulfococcus multivorans
Pasteurella multocida
Brachyspira murdochii
Corynebacterium mustelae
Streptococcus mutans
Cronobacter muytjensii
Protochlamydia naegleriophila
Paenibacillus naphthalenovorans
Thermotoga naphthophila
Thermodesulfobium narugense
Stackebrandtia nassauensis
Vibrio natriegens
Thermococcus nautili
Thermotoga neapolitana
Halothiobacillus neapolitanus
Xenorhabdus nematophila
Cedecea neteri
Thermoproteus neutrophilus
Oscillatoria nigro-viridis
Thioalkalivibrio nitratireducens
Hyphomicrobium nitrativorans
Arcobacter nitrofigilis
Calditerrivibrio nitroreducens
Candidatus Nitrososphaera
Candidatus Nitrospira
Streptomyces niveus
Fervidobacterium nodosum
Dichelobacter nodosus
Methylobacterium nodulans
Streptomyces noursei
Nocardia nova
Clostridium novyi
Fusobacterium nucleatum
Caldicellulosiruptor obsidiansis
Natronococcus occultus
Nitrosococcus oceani
Capnocytophaga ochracea
Haliangium ochraceum
Paenibacillus odorifer
Pyrobaculum oguniense
Methanothermococcus okinawensis
Kosmotoga olearia
Methanobrevibacter olleyae
Thermococcus onnurineus
Desulfomicrobium orale
Streptococcus oralis
Halothermothrix orenii
Amycolatopsis orientalis
Desulfosporosinus orientis
Actinomyces oris
Raoultella ornithinolytica
Kosakonia oryzae
Thermus oshimai
Moraxella osloensis
Moraxella ovis
Caldicellulosiruptor owensensis
Gluconobacter oxydans
Klebsiella oxytoca
Palaeococcus pacificus
Streptomyces pactum
Isosphaera pallida
Acholeplasma palmae
Rhodopseudomonas palustris
Gordonibacter pamelaeae
Microcystis panniformis
Streptococcus pantholopis
Lactobacillus parabuchneri
Lactobacillus paracasei
Lactobacillus paracollinoides
Thioalkalivibrio paradoxus
Pseudomonas parafulva
Vibrio parahaemolyticus
Haemophilus parainfluenzae
Thermococcus paralvinellae
Lactobacillus paraplantarum
Streptococcus parasanguinis
Pectobacterium parmentieri
Thermus parvatiensis
Veillonella parvula
Streptomyces parvulus
Chlorobaculum parvum
Staphylococcus pasteuri
Clostridium pasteurianum
Acetobacter pasteurianus
Treponema pedis
Natrinema pellirubrum
Campylobacter peloridis
Vagococcus penaei
Thermofilum pendens
Fervidobacterium pennivorans
Pediococcus pentosaceus
Paenibacillus peoriae
Thermococcus peptonophilus
Clostridium perfringens
Aeropyrum pernix
Acetobacter persici
Yersinia pestis
Thermotoga petrophila
Chlorobium phaeobacteroides
Pelodictyon phaeoclathratiforme
Thermacetogenium phaeum
Natronomonas pharaonis
Francisella philomiragia
Corynebacterium phocae
Microlunatus phosphovorus
Rhodospirillum photometricum
Pannonibacter phragmitetus
Kibdelosporangium phytohabitans
Geobacter pickeringii
Marinitoga piezophila
Thermococcus piezophilus
Shewanella piezotolerans
Desulfovibrio piger
Limnochorda pilosa
Edwardsiella piscicida
Ferroglobus placidus
Burkholderia plantarii
Lactobacillus plantarum
Arthrospira platensis
Sphaerochaeta pleomorpha
Actinobacillus pleuropneumoniae
Melissococcus plutonius
Serratia plymuthica
Klebsiella pneumoniae
Legionella pneumophila
Dialister pneumosintes
Xenorhabdus poinarii
Gordonia polyisoprenivorans
Paenibacillus polymyxa
Ilyobacter polytropus
Halanaerobium praevalens
Faecalibacterium prausnitzii
Mesotoga prima
Treponema primitia
Endomicrobium proavitum
Thermotoga profunda
Photobacterium profundum
Oceanithermus profundus
Paludibacter propionicigenes
Propionibacterium propionicum
Desulfobulbus propionicus
gamma proteobacterium
Coprothermobacter proteolyticus
Obesumbacterium proteus
Thermoanaerobacter pseudethanolicus
Staphylococcus pseudintermedius
Pseudomonas pseudoalcaligenes
Bifidobacterium pseudocatenulatum
Bordetella pseudohinzii
Bifidobacterium pseudolongum
Corynebacterium pseudotuberculosis
Basilea psittacipulmonis
Desulfotalea psychrophila
Flavobacterium psychrophilum
Mycoplasma pullorum
Bacillus pumilus
Nostoc punctiforme
Candidatus Puniceispirillum
Marichromatium purpuratum
Treponema putidum
Shewanella putrefaciens
Streptococcus pyogenes
Erwinia pyrifoliae
Rubrobacter radiotolerans
Truepera radiovictrix
Streptomyces rapamycinicus
Eubacterium rectale
Desulfotomaculum reducens
Corynebacterium resistens
Desulfohalobium retbaense
Streptomyces reticuli
Providencia rettgeri
Lactobacillus reuteri
Lactobacillus rhamnosus
Ornithobacterium rhinotracheale
Agrobacterium rhizogenes
Citrobacter rodentium
Yersinia rohdei
Thermomicrobium roseum
Melioribacter roseus
Meiothermus ruber
Pseudoalteromonas rubra
Streptomyces rubrolavendulae
Rhodospirillum rubrum
Selenomonas ruminantium
Prevotella ruminicola
Desulfotomaculum ruminis
Clostridium saccharobutylicum
Proteiniphilum saccharofermentans
Clostridium saccharolyticum
Caldicellulosiruptor saccharolyticus
Clostridium saccharoperbutylacetonicum
Acidilobus saccharovorans
Cronobacter sakazakii
Chromohalobacter salexigens
Lactobacillus salivarius
Nitratifractor salsuginis
Streptomyces sampsonii
Lactobacillus sanfranciscensis
Aerococcus sanguinicola
Streptococcus sanguinis
Leptospira santarosai
Blastococcus saxobsidens
Bifidobacterium scardovii
Clostridium scatologenes
Actinotignum schaalii
Staphylococcus schleiferi
Thermus scotoductus
Halolamina sediminis
Metallosphaera sedula
Listeria seeligeri
Kitasatospora setae
Alistipes shahii
Dinoroseobacter shibae
Exiguobacterium sibiricum
Thermococcus sibiricus
Methanosarcina siciliae
Streptomyces silaceus
Meiothermus silvanus
Yersinia similis
Corynebacterium simulans
Corynebacterium singulare
Flexistipes sinusarabici
Eubacterium siraeum
Runella slithyformis
Spirochaeta smaragdinae
Mycobacterium smegmatis
Bacillus smithii
Ralstonia solanacearum
Dickeya solani
Sulfolobus solfataricus
Acinetobacter soli
Shigella sonnei
Acetobacter sp.
Pseudoxanthomonas spadix
Lysinibacillus sphaericus
Rhodobacter sphaeroides
Corynebacterium sphenisci
Verrucomicrobium spinosum
Odoribacter splanchnicus
Clostridium sporogenes
Selenomonas sputigena
Methanosphaera stadtmanae
Cylindrospermum stagnale
Pirellula staleyi
Cyanobacterium stanieri
Geobacillus stearothermophilus
Paenibacillus stellifer
Clostridium stercorarium
Myxococcus stipitatus
Providencia stuartii
Pseudomonas stutzeri
Campylobacter subantarcticus
Geoalkalibacter subterraneus
Mannheimia succiniciproducens
Treponema succinifaciens
Actinobacillus succinogenes
Actinobacillus suis
Archaeoglobus sulfaticallidus
Desulfocapsa sulfexigens
Rhodovulum sulfidophilum
Halanaeroarchaeum sulfurireducens
Geobacter sulfurreducens
Gynuella sunshinyii
Candidatus Symbiobacter
Frankia symbiont
Mycoplasma synoviae
Fluviicola taffensis
Thermosulfidibacter takaii
Methanolinea tarda
Erwinia tasmaniensis
Ramlibacter tataouinensis
Photorhabdus temperata
Thermoproteus tenax
Thermoanaerobacter tengcongensis
Chlorobium tepidum
uncultured Termite
Sebaldella termitidis
Corynebacterium terpenotabidum
Paenibacillus terrae
Thermobaculum terrenum
Corynebacterium testudinoris
Clostridium tetani
Vagococcus teuberi
Chloroherpeton thalassium
Chroococcidiopsis thermalis
Thermotoga thermarum
Methanothermobacter thermautotrophicus
Moorella thermoacetica
Clostridium thermocellum
Geobacillus thermodenitrificans
Parageobacillus thermoglucosidans
Geobacillus thermoglucosidasius
Geobacillus thermoleovorans
Desulfurobacterium thermolithotrophum
Anaerolinea thermophila
Anaerocellum thermophilum
Hydrogenobacter thermophilus
Pelotomaculum thermopropionicum
Thermoanaerobacterium thermosaccharolyticum
Microbulbifer thermotolerans
Caldimicrobium thiodismutans
Sedimenticola thiotaurini
Bacillus thuringiensis
Halorhabdus tiamatea
Desulfomonile tiedjei
Sulfolobus tokodaii
Desulfobacula toluolica
Psychroflexus torquis
Picrophilus torridus
Rathayibacter toxicus
Xanthomonas translucens
Pseudoalteromonas translucida
Bibersteinia trehalosi
Salinispora tropica
Delftia tsuruhatensis
Mycobacterium tuberculosis
Francisella tularensis
Defluviitoga tunisiensis
Dictyoglomus turgidum
Cronobacter turicensis
Teredinibacter turnerae
Bacillus tusciae
Salmonella typhimurium
Helicobacter typhlonius
Clostridium tyrobutyricum
Corynebacterium ulcerans
Olsenella uli
Cronobacter universalis
Geobacter uraniumreducens
Psychrobacter urativorans
Nitrosomonas ureae
Corynebacterium urealyticum
Corynebacterium ureicelerivorans
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus urinaehominis
Halorhabdus utahensis
Corynebacterium uterequi
Chromobacterium vaccinii
Methanosarcina vacuolata
Gardnerella vaginalis
Rhodomicrobium vannielii
Anabaena variabilis
Mannheimia varigena
Klebsiella variicola
Archaeoglobus veneficus
Streptomyces venezuelae
Aeromonas veronii
Xanthomonas vesicatoria
Prosthecochloris vibrioformis
Streptomyces vietnamensis
Azotobacter vinelandii
Allochromatium vinosum
Shewanella violacea
Chromobacterium violaceum
Streptomyces violaceusniger
Thiocystis violascens
Blastochloris viridis
Weeksella virosa
Barnesiella viscericola
Moritella viscosa
Corynebacterium vitaeruminis
Haloferax volcanii
Thermoplasma volcanium
Methanococcus voltae
Methanocaldococcus vulcanius
Ketogulonicigenium vulgare
Desulfovibrio vulgaris
Ketogulonigenium vulgarum
Vibrio vulnificus
Haloquadratum walsbyi
Pectobacterium wasabiae
Nitrosococcus watsoni
Neisseria weaveri
Thermoanaerobacter wiegelii
Nitrobacter winogradskyi
Aliivibrio wodanis
Syntrophomonas wolfei
Methanothermobacter wolfeii
Acetobacterium woodii
Myxococcus xanthus
Paraburkholderia xenovorans
Streptomyces xiamenensis
Paenibacillus xylanexedens
Thermoanaerobacterium xylanolyticum
Rubrobacter xylanophilus
Gluconacetobacter xylinus
Pyrococcus yayanosii
Mycoplasma yeatsii
Thermodesulfovibrio yellowstonii
Paenibacillus yonginensis
Mycobacterium yongonense
Cycloclasticus zancles
Dickeya zeae
Methanosalsum zhilinae
